channel,spend,metric,mean,lower_5,upper_95
channel_1,0.0,roas,NaN,NaN,NaN
channel_1,0.0,mroas,0.5196911750069515,0.24432121224841788,0.9210367046637827
channel_1,0.0,cpa,NaN,NaN,NaN
channel_1,0.0,mcpa,2.2781351427286265,1.085733095382115,4.09297476414929
channel_1,255407.901010101,roas,0.5196911750069515,0.24432121224841788,0.9210367046637827
channel_1,255407.901010101,mroas,0.5196076562234627,0.2443202212883973,0.9207116950126893
channel_1,255407.901010101,cpa,2.2781351427286265,1.085733095382115,4.09297476414929
channel_1,255407.901010101,mcpa,2.278360422590082,1.0861163777698326,4.092991360464696
channel_1,510815.802020202,roas,0.5196076562234627,0.2443202212883973,0.9207116950126893
channel_1,510815.802020202,mroas,0.5193574814086018,0.2443172484767863,0.9197384565263603
channel_1,510815.802020202,cpa,2.278360422590082,1.0861163777698326,4.092991360464696
channel_1,510815.802020202,mcpa,2.2790360593242753,1.0872657615711279,4.093041149101873
channel_1,766223.703030303,roas,0.5194687126080518,0.24431856973399685,0.9201712059055012
channel_1,766223.703030303,mroas,0.5189417889571425,0.24431229401892338,0.9181223346475405
channel_1,766223.703030303,cpa,2.278735585565563,1.0867543839738798,4.0930190205362535
channel_1,766223.703030303,mcpa,2.280161445515892,1.0891798595322257,4.093124129133742
channel_1,1.021631604040404e6,roas,0.5192747225903026,0.24431625765366036,0.9194170148301148
channel_1,1.021631604040404e6,mroas,0.5183624557193826,0.244305358256998,0.9158721526404833
channel_1,1.021631604040404e6,cpa,2.2792601789289053,1.087645924321315,4.093057743682845
channel_1,1.021631604040404e6,mcpa,2.281735572570792,1.0918563689555714,4.093240299015254
channel_1,1.277039505050505e6,roas,0.5190262098525841,0.2443132851431973,0.9184515845994939
channel_1,1.277039505050505e6,mroas,0.5176220670874343,0.24429644166998957,0.9130000853680285
channel_1,1.277039505050505e6,cpa,2.279933573734457,1.0887893471122159,4.093107528950998
channel_1,1.277039505050505e6,mcpa,2.283757036296195,1.0952920856241488,4.093389656583481
channel_1,1.532447406060606e6,roas,0.51872383742268,0.2443096523257701,0.9172780383427528
channel_1,1.532447406060606e6,mroas,0.5167238766560814,0.244285544873579,0.9110915969765703
channel_1,1.532447406060606e6,cpa,2.2807549695566203,1.0901825521438917,4.093168375114992
channel_1,1.532447406060606e6,mcpa,2.2862240445818136,1.0975867364863072,4.093572199057812
