observation,date,residual
1,2023-02-06,2.749063684150855e6
2,2023-02-13,2.578817710848471e6
3,2023-02-20,2.542073967859398e6
4,2023-02-27,2.8702815345159927e6
5,2023-03-06,2.2117248516805684e6
6,2023-03-13,2.565870282179129e6
7,2023-03-20,2.1680356828572736e6
8,2023-03-27,2.460524064154318e6
9,2023-04-03,2.0100261256518876e6
10,2023-04-10,1.7367853254518805e6
11,2023-04-17,1.7711149273900976e6
12,2023-04-24,1.808515827245439e6
13,2023-05-01,1.952738001828327e6
14,2023-05-08,1.5082953349682558e6
15,2023-05-15,1.5115211557191939e6
16,2023-05-22,1.5908570511940834e6
17,2023-05-29,1.6079307190919658e6
18,2023-06-05,1.359254827293887e6
19,2023-06-12,2.107029524615935e6
20,2023-06-19,1.124526652968628e6
21,2023-06-26,1.1453426699223884e6
22,2023-07-03,1.1715027335200144e6
23,2023-07-10,893999.3531696191
24,2023-07-17,904158.5485859596
25,2023-07-24,894676.6274864388
26,2023-07-31,1.9206790648910683e6
27,2023-08-07,1.0119611877480465e6
28,2023-08-14,873989.4428525849
29,2023-08-21,732264.8244387596
30,2023-08-28,758554.9851381183
31,2023-09-04,1.0032879669735947e6
32,2023-09-11,849667.3967770442
33,2023-09-18,1.1297486563366412e6
34,2023-09-25,1.143797221152977e6
35,2023-10-02,1.2451277374216793e6
36,2023-10-09,1.295367105590624e6
37,2023-10-16,1.4860917749708628e6
38,2023-10-23,1.4863607501520007e6
39,2023-10-30,1.556849021870304e6
40,2023-11-06,1.3904288330904366e6
41,2023-11-13,2.0172690750528465e6
42,2023-11-20,2.1690330693560033e6
43,2023-11-27,2.245115297202884e6
44,2023-12-04,2.189094592850088e6
45,2023-12-11,1.8918081086366486e6
46,2023-12-18,2.228785242954209e6
47,2023-12-25,2.401636952784592e6
48,2024-01-01,2.247819249350274e6
49,2024-01-08,2.658268066664527e6
50,2024-01-15,2.9692887191876583e6
51,2024-01-22,2.820791605897125e6
52,2024-01-29,3.1772761047596363e6
53,2024-02-05,2.959243173825244e6
54,2024-02-12,2.842945207902401e6
55,2024-02-19,2.7348227639777153e6
56,2024-02-26,2.375450759003895e6
57,2024-03-04,2.226773579797101e6
58,2024-03-11,3.6554616143330177e6
59,2024-03-18,2.823361547159357e6
60,2024-03-25,2.0391490067639216e6
61,2024-04-01,2.111023629466838e6
62,2024-04-08,2.177887871385761e6
63,2024-04-15,2.368996121351969e6
64,2024-04-22,1.8138174182676594e6
65,2024-04-29,1.9517864290749033e6
66,2024-05-06,1.9187093570076386e6
67,2024-05-13,1.4734162150285204e6
68,2024-05-20,1.4798057040859077e6
69,2024-05-27,1.3025075244270097e6
70,2024-06-03,1.1631140747587257e6
71,2024-06-10,1.3599606996244353e6
72,2024-06-17,1.359674153850232e6
73,2024-06-24,1.1807936890493983e6
74,2024-07-01,1.9597158873823558e6
75,2024-07-08,1.0348236616841869e6
76,2024-07-15,2.2680415364932343e6
77,2024-07-22,819111.7542725534
78,2024-07-29,885823.3750762487
79,2024-08-05,924504.1493487642
80,2024-08-12,831109.1222322329
81,2024-08-19,838999.1682360638
82,2024-08-26,750559.8592956013
83,2024-09-02,1.0407548683829294e6
84,2024-09-09,931983.5831339243
85,2024-09-16,1.1302780221256602e6
86,2024-09-23,1.1870637700107617e6
87,2024-09-30,1.318172001577285e6
88,2024-10-07,1.2813380733503725e6
89,2024-10-14,1.4572115692030694e6
90,2024-10-21,1.553914756222374e6
91,2024-10-28,1.3748598294070573e6
92,2024-11-04,1.9695716809046697e6
93,2024-11-11,2.335167436448122e6
94,2024-11-18,2.0004281033781986e6
95,2024-11-25,2.0249204862856073e6
96,2024-12-02,1.8833271613301411e6
97,2024-12-09,2.5262415718188724e6
98,2024-12-16,2.3537081435260414e6
99,2024-12-23,2.9990726092051407e6
100,2024-12-30,2.278873807931307e6
101,2025-01-06,2.579634697087679e6
102,2025-01-13,2.5603757221986665e6
103,2025-01-20,3.401791962054491e6
104,2025-01-27,2.797683047825487e6
