observation,date,mean,lower_5,upper_95
1,2023-02-06,5307.98284914469,-2935.86625761088,13959.639128208237
2,2023-02-13,5458.956151528802,-2799.728437185667,13996.272356290798
3,2023-02-20,5312.699140601878,-2676.528822120505,13249.597584394847
4,2023-02-27,4938.465484007055,-3256.013639054631,12279.889404067475
5,2023-03-06,4228.481319431551,-3441.422904557999,12265.759743729508
6,2023-03-13,4051.384820870902,-3743.818209604099,12260.274816636336
7,2023-03-20,3470.9841427264337,-4531.494146562502,11972.060246886915
8,2023-03-27,3607.6028456816384,-4854.379396494969,12782.587986725197
9,2023-04-03,2493.874348112267,-6090.14120233958,11305.755646359385
10,2023-04-10,2126.341548119513,-6803.091339512882,11239.895326578797
11,2023-04-17,1191.739609902234,-7832.862426467289,10805.925233124437
12,2023-04-24,542.5057545611439,-9765.785510164716,11052.107612743168
13,2023-05-01,1.9981716729602594,-9794.215415095336,10355.954963501103
14,2023-05-08,-490.3349682557204,-10691.518816196614,9948.977623950579
15,2023-05-15,-1129.488719193887,-13247.371145028133,9195.811511268748
16,2023-05-22,-2017.051194083454,-13290.267064856916,8124.669157819407
17,2023-05-29,-1940.7190919657996,-13563.232416579156,8891.744143374233
18,2023-06-05,-3244.8272938869727,-14768.649983576783,6988.505711496058
19,2023-06-12,-3092.857615935007,-14280.21695014152,7056.434038611189
20,2023-06-19,-3691.65296862803,-16033.024415305434,5986.9091860421895
21,2023-06-26,-4202.669922388427,-15521.981961600373,5565.318230795492
22,2023-07-03,-4622.733520014376,-16650.627669421625,4851.238938551897
23,2023-07-10,-5192.686469619219,-16470.26069116645,5124.95485924341
24,2023-07-17,-5285.215285959561,-14958.15355363929,3809.4081133471745
25,2023-07-24,-5303.294186438747,-15096.283807942093,4350.696656295923
26,2023-07-31,-5304.064891068318,-14670.314544943094,3002.042279120878
27,2023-08-07,-5116.187748046434,-13967.556306072298,3265.006282714828
28,2023-08-14,-4791.109552584813,-13147.393440605454,3349.459911965152
29,2023-08-21,-5014.824438759593,-12922.665046442948,3096.1735157338594
30,2023-08-28,-4824.985138118313,-12501.904492160027,3077.249922496428
31,2023-09-04,-4091.300273594815,-12971.43811475112,3804.6623275434786
32,2023-09-11,-3824.0634770441243,-11864.637792570697,3898.2420006523935
33,2023-09-18,-3731.9893366412466,-12315.85005502888,4427.389073811409
34,2023-09-25,-2818.8881529769274,-11722.219845324915,5154.302747498777
35,2023-10-02,-2471.070421679341,-11768.677370666106,5763.35384043059
36,2023-10-09,-1883.7725906239334,-11417.59134014708,7658.852133834315
37,2023-10-16,-1248.4419708626697,-11512.570946588978,9040.749891747653
38,2023-10-23,-662.4171520006388,-10684.336473207954,8871.385233573877
39,2023-10-30,-240.6888703039073,-10801.383078924027,9477.366192916394
40,2023-11-06,777.8339095633451,-9619.658959934368,11562.144586186147
41,2023-11-13,1514.2579471535666,-9106.402344206419,12484.761906619811
42,2023-11-20,1688.5976439966773,-9242.570996828548,12384.117491317618
43,2023-11-27,2554.702797115772,-9092.63015754146,14066.373699636139
44,2023-12-04,2932.0741499116043,-7809.139869937351,14646.130273021265
45,2023-12-11,3405.2243633514904,-7926.831393425696,14612.680164169024
46,2023-12-18,4124.757045790872,-6664.010641441417,15187.58175488378
47,2023-12-25,4398.047215408233,-5011.910623495868,15214.995110782736
48,2024-01-01,4625.750649725933,-5543.402171435962,16012.91062100166
49,2024-01-08,4856.933335472761,-4447.5641067216475,14797.592092522074
50,2024-01-15,5482.947812341581,-4395.0956307675015,16230.741899583334
51,2024-01-22,5336.727102875362,-4539.079725930537,14834.735130285928
52,2024-01-29,5623.895240363799,-2499.0098344692283,14639.565380465687
53,2024-02-05,5453.493174756102,-3329.3162743128014,14018.303031207772
54,2024-02-12,5579.792097598593,-1770.8279382410858,14004.445072904595
55,2024-02-19,5337.236022284679,-2191.4145224207464,13007.758600068915
56,2024-02-26,5057.5739961050585,-2942.4799997834,12428.86620514871
57,2024-03-04,4141.420202898616,-4427.786334729347,11997.187741547541
58,2024-03-11,3963.385666982305,-4260.31742628984,12808.592051097965
59,2024-03-18,3646.785840643185,-4286.889319528268,12174.671699725663
60,2024-03-25,2994.326236078543,-4995.84984436043,11862.011205876432
61,2024-04-01,2334.703533162016,-6161.674434901777,11419.32178749231
62,2024-04-08,2030.461614239102,-7289.65346914144,11101.593541544367
63,2024-04-15,1617.2116480312611,-6661.41158738373,11270.508712691175
64,2024-04-22,739.2487323404677,-9048.914047084443,10885.922724719852
65,2024-04-29,-118.09607490319159,-9701.927424935338,10170.840149651594
66,2024-05-06,-471.0240076384285,-11037.441818340307,10370.240418243528
67,2024-05-13,-1026.2150285204586,-11977.074731212273,9521.008629545278
68,2024-05-20,-1940.7040859077158,-13451.521201389485,9109.505382359337
69,2024-05-27,-2340.8574270098343,-13328.081367963969,8652.567678051433
70,2024-06-03,-2909.0747587258015,-13985.452892718245,7163.7724803317715
71,2024-06-10,-3089.0326244354883,-14973.912393920229,7432.805015935653
72,2024-06-17,-3840.8208502318284,-14120.791094516986,6750.4111586035015
73,2024-06-24,-4527.022049398335,-15649.17562433908,5125.469973935478
74,2024-07-01,-4434.220382355788,-15090.827961508998,5446.216944839892
