channel,spend,mean,lower_5,upper_95
channel_1,0.0,0.0,0.0,0.0
channel_1,3.612197457142857e6,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,7.224394914285714e6,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,1.0836592371428572e7,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,1.4448789828571428e7,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,1.8060987285714284e7,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,2.1673184742857143e7,86.02748759653616,86.02744236709987,86.02754756237738
channel_1,2.52853822e7,86.02748759653616,86.02744236709987,86.02754756237738
channel_2,0.0,0.0,0.0,0.0
channel_2,2.9257140571428575e6,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,5.851428114285715e6,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,8.777142171428572e6,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,1.170285622857143e7,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,1.4628570285714287e7,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,1.7554284342857145e7,26.17264028380871,26.172634410491085,26.172645090512876
channel_2,2.0479998400000002e7,26.17264028380871,26.172634410491085,26.172645090512876
channel_3,0.0,0.0,0.0,0.0
channel_3,1.9428573333314285e6,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,3.885714666662857e6,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,5.828571999994285e6,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,7.771429333325714e6,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,9.714286666657142e6,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,1.165714399998857e7,15.255484042464996,15.255481052236505,15.25548796274355
channel_3,1.360000133332e7,15.255484042464996,15.255481052236505,15.25548796274355
channel_4,0.0,0.0,0.0,0.0
channel_4,3.8628669223571424e6,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,7.725733844714285e6,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,1.1588600767071428e7,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,1.545146768942857e7,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,1.9314334611785714e7,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,2.3177201534142856e7,43.67264985550371,43.67261462700084,43.67268430362249
channel_4,2.7040068456499998e7,43.67264985550371,43.67261462700084,43.67268430362249
channel_5,0.0,0.0,0.0,0.0
channel_5,2.2210522452921434e6,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,4.442104490584287e6,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,6.66315673587643e6,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,8.884208981168574e6,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,1.1105261226460718e7,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,1.332631347175286e7,83.51622658795003,83.51619170488222,83.51626458367392
channel_5,1.5547365717045004e7,83.51622658795003,83.51619170488222,83.51626458367392
channel_6,0.0,0.0,0.0,0.0
channel_6,1.5608e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,3.1216e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,4.6824e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,6.2432e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,7.804e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,9.3648e6,24.756597788939636,24.756574453402038,24.756613751264638
channel_6,1.09256e7,24.756597788939636,24.756574453402038,24.756613751264638
