observation,date,panel_cell,geo,component,mean,lower_5,upper_95
1,2023-02-06,UK,UK,media:channel_1,169145.70197125516,93607.98711204034,252489.11913091748
1,2023-02-06,UK,UK,media:channel_2,0.0,0.0,0.0
1,2023-02-06,UK,UK,media:channel_3,83122.08142449621,12202.983150245553,155774.62680222632
1,2023-02-06,UK,UK,media:channel_4,196782.11957305303,67102.21196463706,317613.7398729971
1,2023-02-06,UK,UK,media:channel_5,0.0,0.0,0.0
1,2023-02-06,UK,UK,media:channel_6,0.0,0.0,0.0
1,2023-02-06,FR,FR,media:channel_1,170521.02343040743,102470.69466716453,255703.10796195592
1,2023-02-06,FR,FR,media:channel_2,0.0,0.0,0.0
1,2023-02-06,FR,FR,media:channel_3,84619.60990481036,16823.373300730727,161802.16051264585
1,2023-02-06,FR,FR,media:channel_4,190322.3114749054,71022.3055462229,320482.651071491
1,2023-02-06,FR,FR,media:channel_5,0.0,0.0,0.0
1,2023-02-06,FR,FR,media:channel_6,0.0,0.0,0.0
1,2023-02-06,DE,DE,media:channel_1,168311.57889625107,93451.3305502288,252820.70508003002
1,2023-02-06,DE,DE,media:channel_2,0.0,0.0,0.0
1,2023-02-06,DE,DE,media:channel_3,88549.20543882386,21778.077885706505,164555.15952609165
1,2023-02-06,DE,DE,media:channel_4,204892.09200058784,77550.6225386734,337005.8816760499
1,2023-02-06,DE,DE,media:channel_5,0.0,0.0,0.0
1,2023-02-06,DE,DE,media:channel_6,0.0,0.0,0.0
2,2023-02-13,UK,UK,media:channel_1,227464.88715516854,134128.02837356948,337913.11143335525
2,2023-02-13,UK,UK,media:channel_2,0.0,0.0,0.0
2,2023-02-13,UK,UK,media:channel_3,13618.88614731793,442.11468466999906,40348.43872310503
2,2023-02-13,UK,UK,media:channel_4,81572.4106796171,26850.073251687372,159410.89960921515
2,2023-02-13,UK,UK,media:channel_5,29968.20357086044,3376.908931527212,78242.09249215218
2,2023-02-13,UK,UK,media:channel_6,38331.13915485887,3447.888610459852,93360.89546001334
2,2023-02-13,FR,FR,media:channel_1,228057.53027869237,135774.28268573259,348785.34370400774
2,2023-02-13,FR,FR,media:channel_2,0.0,0.0,0.0
2,2023-02-13,FR,FR,media:channel_3,12535.998999710606,535.8781635603877,39865.329352344444
2,2023-02-13,FR,FR,media:channel_4,79947.97927556616,25518.01970536208,147411.18051060167
2,2023-02-13,FR,FR,media:channel_5,27187.721444974664,1562.3934620801206,69595.91359086387
2,2023-02-13,FR,FR,media:channel_6,33472.11050598782,2478.982996591839,83486.40418434428
2,2023-02-13,DE,DE,media:channel_1,226133.91525058507,127439.20320116926,329728.2916603976
2,2023-02-13,DE,DE,media:channel_2,0.0,0.0,0.0
2,2023-02-13,DE,DE,media:channel_3,13682.673319027192,651.3740203880742,41058.862777317234
2,2023-02-13,DE,DE,media:channel_4,83514.9274628651,28207.894038858656,156020.30068209037
2,2023-02-13,DE,DE,media:channel_5,30373.4028163494,1849.7750469182738,80604.02470679634
2,2023-02-13,DE,DE,media:channel_6,36757.57541937656,1991.6478973631242,93739.11709074797
3,2023-02-20,UK,UK,media:channel_1,36251.45784721074,1894.25450658006,91796.96491636414
3,2023-02-20,UK,UK,media:channel_2,55185.50661432176,8096.333667734062,120059.72108575654
3,2023-02-20,UK,UK,media:channel_3,6676.363133057073,1069.3597709238975,18522.353490172398
3,2023-02-20,UK,UK,media:channel_4,153831.81038141678,53610.77759981163,256749.99114161645
3,2023-02-20,UK,UK,media:channel_5,42880.267736655056,5465.676739655315,106359.3105860404
3,2023-02-20,UK,UK,media:channel_6,43229.6884753822,3782.369452529785,106484.42998999725
3,2023-02-20,FR,FR,media:channel_1,33771.26084190102,2919.235879495732,92511.2799355431
3,2023-02-20,FR,FR,media:channel_2,45681.406273296605,2002.496458367361,109208.79467835484
3,2023-02-20,FR,FR,media:channel_3,6252.670724530095,998.9881928336458,17795.003954767486
3,2023-02-20,FR,FR,media:channel_4,150399.92750987218,57047.610387286455,253401.4368447706
3,2023-02-20,FR,FR,media:channel_5,39002.63194792127,2373.2984408465786,95650.84939539408
3,2023-02-20,FR,FR,media:channel_6,38477.53631457656,3028.397178960913,98845.725999676
3,2023-02-20,DE,DE,media:channel_1,36068.936008464756,2010.5364600958494,95970.64835705157
3,2023-02-20,DE,DE,media:channel_2,49370.728843513185,2633.4392154648376,113817.28310082188
3,2023-02-20,DE,DE,media:channel_3,6696.783767710827,1312.4555576183511,18614.54958971815
3,2023-02-20,DE,DE,media:channel_4,159606.69747805755,63558.95578939795,267108.1610357698
3,2023-02-20,DE,DE,media:channel_5,43254.884352857014,2577.926859287125,112431.43989022991
3,2023-02-20,DE,DE,media:channel_6,41837.589062389314,2070.3469613657844,107299.33100094362
4,2023-02-27,UK,UK,media:channel_1,406787.43469512934,267441.56482468103,555091.5629952403
4,2023-02-27,UK,UK,media:channel_2,22770.87581157934,935.588137070727,62186.93268803984
4,2023-02-27,UK,UK,media:channel_3,115469.07093523652,17470.629765259546,218861.48019130382
4,2023-02-27,UK,UK,media:channel_4,116633.67889884493,41361.951279214256,210616.5458760723
4,2023-02-27,UK,UK,media:channel_5,47128.9142111226,5948.727909028043,119068.22681609391
4,2023-02-27,UK,UK,media:channel_6,49512.60836555797,4225.20298908454,121969.71768748069
4,2023-02-27,FR,FR,media:channel_1,410405.1952654655,263365.0354067876,570336.7342512043
4,2023-02-27,FR,FR,media:channel_2,17304.823882420806,221.74780178933975,53379.07352228932
4,2023-02-27,FR,FR,media:channel_3,116985.16787074078,22798.408743395787,223133.14298169696
4,2023-02-27,FR,FR,media:channel_4,114788.3779678369,41663.336690642056,201899.65885466777
4,2023-02-27,FR,FR,media:channel_5,43049.260872622974,2567.5476642783856,106121.4844349969
4,2023-02-27,FR,FR,media:channel_6,44346.3149819814,3513.3668306420122,113596.55354844342
4,2023-02-27,DE,DE,media:channel_1,404238.53597936267,255476.92839015045,552187.9875378511
4,2023-02-27,DE,DE,media:channel_2,18446.727369202097,280.4900662976877,53533.630131780206
4,2023-02-27,DE,DE,media:channel_3,122567.30348646443,30226.253368944122,225885.29617751171
4,2023-02-27,DE,DE,media:channel_4,120487.92677460959,44604.59365027348,212298.72616265225
4,2023-02-27,DE,DE,media:channel_5,47410.507628078514,3248.4103978254725,125247.96816361844
4,2023-02-27,DE,DE,media:channel_6,48031.99363617153,2306.2195976349853,122867.73157666826
5,2023-03-06,UK,UK,media:channel_1,90048.37751894293,5477.678728333105,219789.7277971948
5,2023-03-06,UK,UK,media:channel_2,115160.01661740626,17999.294895373256,242003.24194863162
5,2023-03-06,UK,UK,media:channel_3,19017.83923156697,614.3341207532956,56047.30570725122
5,2023-03-06,UK,UK,media:channel_4,47119.28545449019,14803.710523230015,97476.438821708
5,2023-03-06,UK,UK,media:channel_5,40625.93528543435,4757.205660414463,101807.7587980121
5,2023-03-06,UK,UK,media:channel_6,45697.23801963627,3751.9817321146666,111408.74456271538
5,2023-03-06,FR,FR,media:channel_1,84620.43827328831,7988.893685764276,215376.11634554766
5,2023-03-06,FR,FR,media:channel_2,93595.13539378271,4447.3640820324,211446.56734919723
5,2023-03-06,FR,FR,media:channel_3,17472.947624361776,748.8358553217588,55771.78509056491
5,2023-03-06,FR,FR,media:channel_4,47029.63939212865,14264.464262524418,95469.94857177224
5,2023-03-06,FR,FR,media:channel_5,37372.30441194962,1994.7825891303162,96846.78508605198
5,2023-03-06,FR,FR,media:channel_6,41367.00509796083,3190.5268533532703,108905.00296613472
5,2023-03-06,DE,DE,media:channel_1,88957.21821044669,5823.362453710586,224645.55518586276
5,2023-03-06,DE,DE,media:channel_2,102090.49909155772,5511.369164279408,224190.59269143417
5,2023-03-06,DE,DE,media:channel_3,19093.795481426092,905.2086679759374,57382.59817645255
5,2023-03-06,DE,DE,media:channel_4,48178.92918671541,14767.255026504767,100540.03650043534
5,2023-03-06,DE,DE,media:channel_5,40733.26042765131,2594.5789964877727,107028.89246250363
5,2023-03-06,DE,DE,media:channel_6,44519.20309103564,2114.370599268538,114700.702145273
6,2023-03-13,UK,UK,media:channel_1,248791.03590541967,148172.40575375903,366458.80634972005
6,2023-03-13,UK,UK,media:channel_2,51438.19548724964,1968.5456071107378,138468.6514765247
6,2023-03-13,UK,UK,media:channel_3,200300.56073283503,31294.44016534434,378764.82096827606
6,2023-03-13,UK,UK,media:channel_4,147246.46477585976,50970.79501554441,239203.91012296226
6,2023-03-13,UK,UK,media:channel_5,48442.40995673885,6079.647807663956,122347.1987663282
6,2023-03-13,UK,UK,media:channel_6,46122.217234367956,3821.609611506871,111703.90329618996
6,2023-03-13,FR,FR,media:channel_1,249219.83222043788,151745.72356580166,380884.0917202465
6,2023-03-13,FR,FR,media:channel_2,38061.78744946263,466.14281877292945,130013.50047891636
6,2023-03-13,FR,FR,media:channel_3,201662.1091217846,40855.29959187355,385170.9827578148
6,2023-03-13,FR,FR,media:channel_4,143791.38139354985,55753.51873177294,240216.66706129766
6,2023-03-13,FR,FR,media:channel_5,44481.628664985845,2594.6060768257835,111299.42723418903
6,2023-03-13,FR,FR,media:channel_6,41658.58479850419,3208.2547671378743,109208.3828484235
6,2023-03-13,DE,DE,media:channel_1,247615.06776291595,141653.133946375,361874.32051839953
6,2023-03-13,DE,DE,media:channel_2,41443.78381590993,591.0751591736564,123328.8753360589
6,2023-03-13,DE,DE,media:channel_3,211278.17306202592,53114.84666547528,387215.7265274872
6,2023-03-13,DE,DE,media:channel_4,153106.94725328195,61700.42675269002,253834.69364530675
6,2023-03-13,DE,DE,media:channel_5,48698.18819084948,3348.1880886002195,129086.72264935929
6,2023-03-13,DE,DE,media:channel_6,44884.85652138672,2110.8831927997103,115766.51470818795
7,2023-03-20,UK,UK,media:channel_1,46207.34816976532,7501.084793766494,111420.85038001588
7,2023-03-20,UK,UK,media:channel_2,107549.00740948258,16941.98535872988,229998.09758794494
7,2023-03-20,UK,UK,media:channel_3,35581.27200151968,1108.93427151813,107282.6916841579
7,2023-03-20,UK,UK,media:channel_4,139453.36325891997,49169.01668310674,240320.70315226584
7,2023-03-20,UK,UK,media:channel_5,48150.11390350909,5880.360951919129,119986.84004841176
7,2023-03-20,UK,UK,media:channel_6,45543.03261553499,3775.1360015079326,110364.86285155303
7,2023-03-20,FR,FR,media:channel_1,43304.662768031514,7640.166543150716,114625.34670827734
7,2023-03-20,FR,FR,media:channel_2,86142.50398999291,3978.8931872920366,204875.00170442046
7,2023-03-20,FR,FR,media:channel_3,32310.491389936826,1391.0491014120173,101251.87003506365
7,2023-03-20,FR,FR,media:channel_4,136292.04946559411,49358.5628559169,231763.6734179932
7,2023-03-20,FR,FR,media:channel_5,44179.98343807839,2545.593663455825,108686.26192807211
7,2023-03-20,FR,FR,media:channel_6,41147.3713260755,3170.1773073561685,107915.85316839545
7,2023-03-20,DE,DE,media:channel_1,46217.99682928043,6708.602232603114,115411.43870991672
7,2023-03-20,DE,DE,media:channel_2,94132.88547457023,4523.834246705678,209666.57008487187
7,2023-03-20,DE,DE,media:channel_3,35541.795174735526,1669.2652732612244,110909.58194551723
7,2023-03-20,DE,DE,media:channel_4,144292.50942395665,55616.2696851485,243720.98707309994
7,2023-03-20,DE,DE,media:channel_5,48373.55564760411,3247.2468436469057,128071.42378186101
7,2023-03-20,DE,DE,media:channel_6,44328.37941593685,2096.8689641834217,114397.28658033014
8,2023-03-27,UK,UK,media:channel_1,31751.417611478733,15325.810263112493,56726.52035399624
8,2023-03-27,UK,UK,media:channel_2,49303.87435645186,1611.8790019163548,142647.11450129515
8,2023-03-27,UK,UK,media:channel_3,157004.1911694098,25267.572216994547,293819.9093155173
8,2023-03-27,UK,UK,media:channel_4,179372.80126273984,63106.296769257955,302908.98654884554
8,2023-03-27,UK,UK,media:channel_5,46757.23028650643,5637.381381072316,115932.85530940592
8,2023-03-27,UK,UK,media:channel_6,50308.69071515463,4231.965800382633,122251.33368442944
8,2023-03-27,FR,FR,media:channel_1,31017.772407114793,15320.047787211572,57011.570638746445
8,2023-03-27,FR,FR,media:channel_2,36311.673176683886,382.8686324618504,126748.18823436182
8,2023-03-27,FR,FR,media:channel_3,157543.57742411463,33220.08426296777,298872.5718127385
8,2023-03-27,FR,FR,media:channel_4,175254.00087149086,65110.00220827366,298918.6057956944
8,2023-03-27,FR,FR,media:channel_5,42921.0530394555,2438.7213306266244,107138.5947166283
8,2023-03-27,FR,FR,media:channel_6,45248.08786123714,3527.804479018266,116807.3538099559
8,2023-03-27,DE,DE,media:channel_1,31819.445671386602,15009.342397104843,59258.91991081108
8,2023-03-27,DE,DE,media:channel_2,39283.428131783025,499.8690379242185,121724.7966298896
8,2023-03-27,DE,DE,media:channel_3,165562.74037577913,40752.28120030928,306497.5101580107
8,2023-03-27,DE,DE,media:channel_4,185843.3241418348,73347.7312350641,310556.9243284761
8,2023-03-27,DE,DE,media:channel_5,46946.41714405875,3114.546116224173,123453.77289780007
8,2023-03-27,DE,DE,media:channel_6,48881.70187511605,2310.2535943221424,124864.45928878695
9,2023-04-03,UK,UK,media:channel_1,5220.467859899819,194.54622461851818,15635.482010346037
9,2023-04-03,UK,UK,media:channel_2,18959.183765157264,86.83395164927641,64607.80266417779
9,2023-04-03,UK,UK,media:channel_3,28235.842246846125,819.3250350494833,87564.66143836408
9,2023-04-03,UK,UK,media:channel_4,132578.78664974368,46635.49255039431,236860.92032522766
9,2023-04-03,UK,UK,media:channel_5,40124.486531266244,4668.378255954145,101235.2898979902
