channel,spend,metric,mean,lower_5,upper_95
channel_1,0.0,roas,NaN,NaN,NaN
channel_1,0.0,mroas,0.003262340410787132,0.0026881016466007296,0.0038194971867950463
channel_1,0.0,cpa,NaN,NaN,NaN
channel_1,0.0,mcpa,310.3830040039771,261.8145917172131,372.0097573366842
channel_1,255407.901010101,roas,0.003262340410787132,0.0026881016466007296,0.0038194971867950463
channel_1,255407.901010101,mroas,0.0016349919365556429,0.0013512925803294271,0.0019106972634452411
channel_1,255407.901010101,cpa,310.3830040039771,261.8145917172131,372.0097573366842
channel_1,255407.901010101,mcpa,619.2355292658851,523.3691688580187,740.0322506418802
channel_1,510815.802020202,roas,0.0016349919365556429,0.0013512925803294271,0.0019106972634452411
channel_1,510815.802020202,mroas,5.525786673259013e-6,0.0,3.775140251821573e-5
channel_1,510815.802020202,cpa,619.2355292658851,523.3691688580186,740.0322506418802
channel_1,510815.802020202,mcpa,4.251756291918008e6,21607.23500928222,2.9515920113610156e7
channel_1,766223.703030303,roas,0.001091130661377883,0.0009008883060785081,0.0012749287865232548
channel_1,766223.703030303,mroas,2.745000339217124e-6,0.0,2.2461133809603054e-5
channel_1,766223.703030303,cpa,927.8424292087265,784.3575478374513,1110.0155505870782
channel_1,766223.703030303,mcpa,2.4274225222540773e6,35965.88826111885,1.108716159989218e7
channel_1,1.021631604040404e6,roas,0.0008188684684474301,0.0006780822862327532,0.0009562113370149949
channel_1,1.021631604040404e6,mroas,1.773025780973338e-6,0.0,1.5445978779584727e-5
channel_1,1.021631604040404e6,cpa,1236.3017230049609,1045.7939576867445,1474.7472704122501
channel_1,1.021631604040404e6,mcpa,2.4194771373671847e6,50498.68643507206,1.6547279997986678e7
channel_1,1.277039505050505e6,roas,0.0006553876071391194,0.0005425197994866908,0.0007649715368559492
channel_1,1.277039505050505e6,mroas,1.2888245962986328e-6,0.0,1.1111061587030959e-5
channel_1,1.277039505050505e6,cpa,1544.655292193274,1307.2382383570296,1843.2507005346404
channel_1,1.277039505050505e6,mcpa,2.321688710241506e6,61073.59040930916,1.0838346788995942e7
channel_1,1.532447406060606e6,roas,0.0005463419204970529,0.0004520998329055757,0.0006374767132325076
channel_1,1.532447406060606e6,mroas,1.0014562947772892e-6,0.0,9.409754131874353e-6
channel_1,1.532447406060606e6,cpa,1852.9276605375865,1568.6848236598917,2211.9008406415687
channel_1,1.532447406060606e6,mcpa,4.209619045689374e6,70769.78951327,3.4362115380334884e7
channel_1,1.787855307070707e6,roas,0.0004684201354693073,0.000387624139472275,0.0005464086896301522
channel_1,1.787855307070707e6,mroas,8.120245706972762e-7,0.0,7.759712705853982e-6
channel_1,1.787855307070707e6,cpa,2161.134978071811,1830.1320325411073,2579.8187013209795
channel_1,1.787855307070707e6,mcpa,2.1446579891178636e6,81474.66008459596,1.4744761338690214e7
channel_1,2.043263208080808e6,roas,0.000409959446515464,0.00033995231395954963,0.0004781076179370243
channel_1,2.043263208080808e6,mroas,6.781287368488169e-7,0.0,6.775735599518677e-6
channel_1,2.043263208080808e6,cpa,2469.2887270993333,2091.5794023997973,2941.589936989535
channel_1,2.043263208080808e6,mcpa,5.235813614901965e6,96725.78590343485,3.667852213101261e7
channel_1,2.298671109090909e6,roas,0.0003644774673065387,0.0003022125832783032,0.00042498455201725764
channel_1,2.298671109090909e6,mroas,5.786934498394476e-7,0.0,5.9979629195047536e-6
channel_1,2.298671109090909e6,cpa,2777.397515349014,2353.0268125579373,3308.9290841156803
channel_1,2.298671109090909e6,mcpa,4.698497779513717e6,109258.14371027873,2.3941635377717093e7
channel_1,2.55407901010101e6,roas,0.0003280832959023391,0.00027236141265937655,0.00038248609734072903
channel_1,2.55407901010101e6,mroas,5.020839796143692e-7,0.0,5.592433700233588e-6
channel_1,2.55407901010101e6,cpa,3085.4680431559905,2614.474232592207,3671.592407055264
channel_1,2.55407901010101e6,mcpa,4.55783112696182e6,118657.45900656738,2.8374225713615436e7
channel_1,2.809486911111111e6,roas,0.0002983001248834616,0.00024794729506039467,0.0003477146340480604
channel_1,2.809486911111111e6,mroas,4.4135249066745243e-7,0.0,5.243392646918474e-6
channel_1,2.809486911111111e6,cpa,3393.5056760295092,2875.921655009836,4033.1167727481957
channel_1,2.809486911111111e6,mcpa,3.6940152904279297e6,127858.6399036998,1.8201585041578326e7
channel_1,3.064894812121212e6,roas,0.00027347630533372714,0.00022754915242874943,0.000318738414564055
channel_1,3.064894812121212e6,mroas,3.920934919743501e-7,0.0,4.699067353165753e-6
channel_1,3.064894812121212e6,cpa,3701.5148067935615,3137.3690779960566,4394.65842613373
channel_1,3.064894812121212e6,mcpa,3.291379911533618e6,140619.47873785545,2.070936896441939e7
channel_1,3.320302713131313e6,roas,0.00025246812005400195,0.00021024941573038992,0.0002942200749861645
channel_1,3.320302713131313e6,mroas,3.5138052692100096e-7,0.0,4.302540195737073e-6
channel_1,3.320302713131313e6,cpa,4009.4990950861134,3398.816501116736,4756.261721846454
channel_1,3.320302713131313e6,mcpa,3.3467517449946036e6,154895.17965124233,1.6913906487940077e7
channel_1,3.575710614141414e6,roas,0.00023445845893275483,0.0001953634982465136,0.000273204355345086
channel_1,3.575710614141414e6,mroas,3.1719653735905424e-7,0.0,3.7833767932280247e-6
channel_1,3.575710614141414e6,cpa,4317.461631385681,3660.2639242689925,5118.6691142503105
channel_1,3.575710614141414e6,mcpa,3.117856189841883e6,165017.10422851672,1.4948903795510713e7
channel_1,3.831118515151515e6,roas,0.0002188479969184496,0.00018235084537425363,0.00025499073165557247
channel_1,3.831118515151515e6,mroas,2.8810870353146607e-7,0.0,3.408988710440458e-6
channel_1,3.831118515151515e6,cpa,4625.405053099261,3921.711347428625,5483.9372723140095
channel_1,3.831118515151515e6,mcpa,3.1229346661820807e6,174974.36746083648,2.0616367064151347e7
channel_1,4.086526416161616e6,roas,0.0002051871651541019,0.00017096432590799513,0.00023905381092713136
channel_1,4.086526416161616e6,mroas,2.6307304620042046e-7,0.0,3.1171600949150593e-6
channel_1,4.086526416161616e6,cpa,4933.331629448368,4183.158770589971,5849.17497643143
channel_1,4.086526416161616e6,mcpa,4.8180844068377735e6,187982.53151089663,3.3449928617793646e7
channel_1,4.341934317171717e6,roas,0.00019313212352171442,0.0001609170168007183,0.00022499182204907133
channel_1,4.341934317171717e6,mroas,2.413120398359404e-7,0.0,2.7521281511497114e-6
channel_1,4.341934317171717e6,cpa,5241.243325504954,4444.606193751716,6214.383556803075
channel_1,4.341934317171717e6,mcpa,4.909475009590046e6,203100.14043265005,2.193489836401174e7
channel_1,4.597342218181818e6,roas,0.00018241540369696126,0.00015198575021383698,0.0002124922763796798
channel_1,4.597342218181818e6,mroas,2.2223532689033793e-7,0.0,2.542476467175748e-6
channel_1,4.597342218181818e6,cpa,5549.141851857941,4706.053616913551,6579.564193511706
channel_1,4.597342218181818e6,mcpa,4.052126473607698e6,217280.89966219472,2.1340952601681884e7
channel_1,4.852750119191919e6,roas,0.0001728258195012066,0.00014399482674425847,0.0002013084723596969
channel_1,4.852750119191919e6,mroas,2.053868924069442e-7,0.0,2.332277170570516e-6
