panel_cell,geo,channel,spend,metric,mean,lower_5,upper_95
UK,UK,channel_1,0.0,roas,NaN,NaN,NaN
UK,UK,channel_1,0.0,mroas,0.6263207048184931,0.33569836836762457,0.9675759308444135
UK,UK,channel_1,0.0,cpa,NaN,NaN,NaN
UK,UK,channel_1,0.0,mcpa,1.7750492452424944,1.033511476991594,2.9788652242238047
UK,UK,channel_1,510815.80202020204,roas,0.6263207048184931,0.33569836836762457,0.9675759308444135
UK,UK,channel_1,510815.80202020204,mroas,0.6257279938707151,0.33557064353874,0.9667534419367173
UK,UK,channel_1,510815.80202020204,cpa,1.7750492452424942,1.0335114769915938,2.9788652242238047
UK,UK,channel_1,510815.80202020204,mcpa,1.7764032388960467,1.0343906705446917,2.97999898929823
UK,UK,channel_1,1.0216316040404041e6,roas,0.6257279938707151,0.33557064353874,0.9667534419367173
UK,UK,channel_1,1.0216316040404041e6,mroas,0.623962093915924,0.3351882770526446,0.9642978086795734
UK,UK,channel_1,1.0216316040404041e6,cpa,1.7764032388960467,1.0343906705446917,2.97999898929823
UK,UK,channel_1,1.0216316040404041e6,mcpa,1.7804590377041842,1.0370245563745852,2.983398290860213
UK,UK,channel_1,1.532447406060606e6,roas,0.6247482975501137,0.3353583074909713,0.9653905160678534
UK,UK,channel_1,1.532447406060606e6,mroas,0.621058899434392,0.33455367960388466,0.9602440894796739
UK,UK,channel_1,1.532447406060606e6,cpa,1.7786505536840758,1.035850870189847,2.9818857325147716
UK,UK,channel_1,1.532447406060606e6,mcpa,1.7871982402228808,1.0414021077218472,2.9890571615014774
UK,UK,channel_1,2.0432632080808082e6,roas,0.6233934466525535,0.3350621615713123,0.9634987657081956
UK,UK,channel_1,2.0432632080808082e6,mroas,0.6170756684651523,0.33367082507349366,0.9475741199349738
UK,UK,channel_1,2.0432632080808082e6,cpa,1.7817775019614277,1.037884507812451,2.984521184600814
UK,UK,channel_1,2.0432632080808082e6,mcpa,1.796590651620153,1.0553294659817236,2.9969657005850356
UK,UK,channel_1,2.55407901010101e6,roas,0.6216792459161291,0.33468331452398026,0.9610940187134401
UK,UK,channel_1,2.55407901010101e6,mroas,0.6120875457247344,0.33316477091341684,0.9375997218913079
UK,UK,channel_1,2.55407901010101e6,cpa,1.7857655406159552,1.0404812149285578,2.9878994251257107
UK,UK,channel_1,2.55407901010101e6,mcpa,1.8085949642228374,1.066555684069496,3.001518287593156
UK,UK,channel_1,3.064894812121212e6,roas,0.6196248130099473,0.33422316972821425,0.9579240750579996
UK,UK,channel_1,3.064894812121212e6,mroas,0.6061833475131825,0.33292145928134886,0.9275847133802265
UK,UK,channel_1,3.064894812121212e6,cpa,1.7905918279741628,1.043924073118829,2.9920129376145312
UK,UK,channel_1,3.064894812121212e6,mcpa,1.8231596526212555,1.07806884017582,3.003714210489417
UK,UK,channel_1,3.575710614141414e6,roas,0.6172518463724302,0.33368340931432067,0.9488713417894201
UK,UK,channel_1,3.575710614141414e6,mroas,0.599461080442881,0.3302668256928475,0.9130589220899927
UK,UK,channel_1,3.575710614141414e6,cpa,1.7962298617943204,1.0538858053466085,2.9968526784157796
UK,UK,channel_1,3.575710614141414e6,mcpa,1.840224034162691,1.0952202868411474,3.027855061344855
UK,UK,channel_1,4.0865264161616163e6,roas,0.6145838798681807,0.3332579804323547,0.9417304701653206
UK,UK,channel_1,4.0865264161616163e6,mroas,0.592023613387829,0.3277192528949308,0.9007304089346678
UK,UK,channel_1,4.0865264161616163e6,cpa,1.8026501566644242,1.0618794670922933,3.0006783800360814
UK,UK,channel_1,4.0865264161616163e6,mcpa,1.8597194419294092,1.1102107735952917,3.051392346685448
UK,UK,channel_1,4.597342218181818e6,roas,0.6116455723758522,0.3331296217071811,0.93672238316854
UK,UK,channel_1,4.597342218181818e6,mroas,0.5839748155216475,0.32597811257867415,0.8876101994763484
UK,UK,channel_1,4.597342218181818e6,cpa,1.8098209232801115,1.067554708569102,3.0018351701504895
UK,UK,channel_1,4.597342218181818e6,mcpa,1.8815704585641968,1.126621160521096,3.067690749779796
UK,UK,channel_1,5.10815802020202e6,roas,0.608462066998874,0.3329904474464321,0.9312731841461291
UK,UK,channel_1,5.10815802020202e6,mroas,0.5754163482582489,0.32538448097220307,0.873566797378028
UK,UK,channel_1,5.10815802020202e6,cpa,1.817708719141191,1.0737998503220687,3.0030909915325474
UK,UK,channel_1,5.10815802020202e6,mcpa,1.9056961644817658,1.1447324657837383,3.0732930382326265
UK,UK,channel_1,5.618973822222222e6,roas,0.605058440718106,0.332663317122733,0.9254228690353364
UK,UK,channel_1,5.618973822222222e6,mroas,0.5664451839040232,0.3235240854130074,0.8587551010306389
UK,UK,channel_1,5.618973822222222e6,cpa,1.8262790484807954,1.0805872927011038,3.0060453770855062
UK,UK,channel_1,5.618973822222222e6,mcpa,1.9320113616072152,1.1644765056907633,3.0909651946003387
UK,UK,channel_1,6.129789624242424e6,roas,0.6014592531497323,0.33073592268526175,0.9186855761857747
UK,UK,channel_1,6.129789624242424e6,mroas,0.5571518352268939,0.3210103680541994,0.8408388275915438
UK,UK,channel_1,6.129789624242424e6,cpa,1.8354968973528396,1.0885117227750887,3.023560375957117
UK,UK,channel_1,6.129789624242424e6,mcpa,1.9604277423398944,1.1892890903102433,3.1151642283963388
UK,UK,channel_1,6.640605426262626e6,roas,0.597688193719458,0.3296728005263286,0.909956992062719
UK,UK,channel_1,6.640605426262626e6,mroas,0.5476192226588767,0.31617590729435313,0.8271883130688207
UK,UK,channel_1,6.640605426262626e6,cpa,1.8453271968589635,1.098953612233299,3.03331158598956
UK,UK,channel_1,6.640605426262626e6,mcpa,1.9908549817809864,1.2089145702332291,3.1627964108248863
UK,UK,channel_1,7.151421228282828e6,roas,0.5937678202224672,0.3279309801883376,0.9030495505002102
UK,UK,channel_1,7.151421228282828e6,mroas,0.5379220763139309,0.3137226470597222,0.8106000341992343
UK,UK,channel_1,7.151421228282828e6,cpa,1.855735213071693,1.1073596267898547,3.0494221874673912
UK,UK,channel_1,7.151421228282828e6,mcpa,2.023201738644688,1.233654067783566,3.1875289247962777
UK,UK,channel_1,7.66223703030303e6,roas,0.5897193780653877,0.32668375520765647,0.8963784784963409
UK,UK,channel_1,7.66223703030303e6,mroas,0.5281267615932191,0.3118219920931964,0.7934497156613145
UK,UK,channel_1,7.66223703030303e6,cpa,1.8666868662392722,1.1156007672758985,3.0610647511285265
UK,UK,channel_1,7.66223703030303e6,mcpa,2.0573765563653406,1.260319498884931,3.2069588483062463
UK,UK,channel_1,8.173052832323233e6,roas,0.5855626878938112,0.32588471962602744,0.8920974075685816
