parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
intercept,38.12628866458819,2.012998848803331,38.12457395123181,34.881921064786845,41.52237010827827,1.0036290611518137,448.75975398992284,315.84943681138003
sigma,4451.140018409196,0.8835815393124465,4451.205337482376,4449.642810276088,4452.508171718495,1.6090531773110297,3.432628428114333,19.18286312244378
beta_media[1],8.93360823544559,0.9770191261504432,8.97168487793927,7.437885765777861,10.47423822878778,1.0027427558765456,780.2578685172988,401.4250292819492
beta_media[2],8.603441337673734,1.0101778362519565,8.555328158628527,6.915512583884274,10.27670953648265,1.0128379019144642,493.7528861575107,279.53250470585664
beta_media[3],8.694803825271338,1.0674293512368889,8.745750844957431,6.960204038374497,10.504647978090745,1.0013673473261817,1349.4850021680095,380.420197792783
beta_media[4],8.984610812998831,1.027869137389326,8.958458814271271,7.302583209018775,10.794919895881822,1.0028721799592673,1044.9604358748547,292.0780074158674
beta_media[5],9.348663817383944,1.0387370975256016,9.347998360232953,7.74609935711561,11.133340910472384,0.9990969960008056,482.8131128820582,268.90711470036257
beta_media[6],9.3910582793782,0.9793667678219303,9.392141058855444,7.899701122237635,11.09815223553411,0.9968595159056481,704.2640233137688,375.43308163764317
alpha[1],0.2748773026826138,0.19462259038275628,0.23300693881471435,0.027881967827919598,0.674501590419755,1.0008816731306152,569.0987813985339,369.98671436725135
alpha[2],0.2780620690866296,0.19761954484171262,0.23402759702416223,0.037941657455350164,0.6767036132729424,1.00416476688885,432.0891868761097,441.441982507676
alpha[3],0.25839683637558214,0.1803624426291157,0.22050583984308286,0.034966926628116526,0.6074767638817828,1.0066324527047816,599.4097471302825,397.6714336235084
alpha[4],0.272206348731776,0.19489217842324857,0.22481807456210862,0.036200059759081825,0.6427441629694006,1.0034283456129152,918.582345464092,354.81259472869965
alpha[5],0.25805975238291956,0.1918915207567938,0.22179263750364459,0.023884978670293613,0.6095638210266773,1.0126659149841741,235.87436691710752,178.48978281500396
alpha[6],0.24942724713932807,0.1852774410638425,0.2069759803604364,0.026997151941092735,0.6047738442088991,1.0077367509170365,561.7686748220253,303.0448061198774
lam[1],2.892146675743247,1.7837124356026641,2.4764115089514736,0.6811457153118511,6.461745754374456,1.0043351575928914,349.22507879590603,240.27080888706368
lam[2],3.107214638309726,1.90491062420873,2.707070262323244,0.7877373022884482,6.932363019902127,1.0054461194960178,579.61662577683,269.2176267674075
lam[3],3.083759017813023,1.794854040047544,2.7395323821043673,0.8189606304998409,6.6767279065457945,0.9984049034901572,697.6522501491187,251.86779347623573
lam[4],3.0857563966230197,1.8093508310646362,2.651953411952487,0.9100558186442094,6.72808413140337,1.009794068188528,595.3747499000126,295.289103281154
lam[5],3.0838578984246836,1.774561331766641,2.742973052103246,0.9093519681573238,6.7362842814215975,0.9998905579262723,969.2983641389746,408.325450062863
lam[6],3.0526812460281594,1.9184946716749438,2.6761797771904074,0.6734896482534578,6.819680266698682,1.0103811017606075,393.6794690175827,384.2456858985822
beta_seasonality[1],2650.5926736767337,3071.4943163702987,836.2310127845071,44.88241204405032,8524.642253077014,3.0420808372568766,2.3448663115025723,11.291253139696856
beta_seasonality[2],0.22120564841041787,1.5897273321901695,0.0858243120434027,-2.155156397184118,3.0909932857104643,1.013697193290247,278.0795496795164,213.0597194901616
beta_seasonality[3],4634.8020996272335,4593.837725902818,2295.1375907748225,230.35604100641282,13033.150749233322,3.056019093058148,2.3363204027061593,11.291253139696838
beta_seasonality[4],0.7265199687740906,1.7528974660017143,0.5175360432401255,-1.7971976514937893,3.8444983265698363,1.0350434393970251,442.67649241860715,284.9371166007242
